datetime,us-central1,europe-west1,asia-east1,australia-southeast1,southamerica-east1
2026-04-01T00:00:00.000Z,297,313,538,259,89
2026-04-01T01:00:00.000Z,310,316,521,240,76
2026-04-01T02:00:00.000Z,305,309,515,238,72
2026-04-01T03:00:00.000Z,288,298,506,263,82
2026-04-01T04:00:00.000Z,288,270,504,302,75
2026-04-01T05:00:00.000Z,284,265,504,387,77
2026-04-01T06:00:00.000Z,291,279,506,500,78
2026-04-01T07:00:00.000Z,318,285,510,631,79
2026-04-01T08:00:00.000Z,344,230,512,663,77
2026-04-01T09:00:00.000Z,370,183,522,664,77
2026-04-01T10:00:00.000Z,395,160,530,661,78
2026-04-01T11:00:00.000Z,410,131,528,652,78
2026-04-01T12:00:00.000Z,441,129,526,654,80
2026-04-01T13:00:00.000Z,476,157,522,686,78
2026-04-01T14:00:00.000Z,500,184,521,690,78
2026-04-01T15:00:00.000Z,515,243,521,692,78
2026-04-01T16:00:00.000Z,517,291,517,697,76
2026-04-01T17:00:00.000Z,499,293,514,708,77
2026-04-01T18:00:00.000Z,464,303,516,718,78
2026-04-01T19:00:00.000Z,435,319,513,718,75
2026-04-01T20:00:00.000Z,391,339,511,701,72
2026-04-01T21:00:00.000Z,375,341,510,561,77
2026-04-01T22:00:00.000Z,378,329,509,376,80
2026-04-01T23:00:00.000Z,370,327,487,282,79
2026-04-02T00:00:00.000Z,371,334,452,251,77
2026-04-02T01:00:00.000Z,363,325,423,246,78
2026-04-02T02:00:00.000Z,326,327,413,244,87
2026-04-02T03:00:00.000Z,290,335,406,259,97
2026-04-02T04:00:00.000Z,256,333,405,289,101
2026-04-02T05:00:00.000Z,228,309,421,347,102
2026-04-02T06:00:00.000Z,222,306,458,448,103
2026-04-02T07:00:00.000Z,219,299,491,587,102
2026-04-02T08:00:00.000Z,217,233,527,638,98
2026-04-02T09:00:00.000Z,215,193,546,645,91
2026-04-02T10:00:00.000Z,218,182,559,661,82
2026-04-02T11:00:00.000Z,216,161,564,658,81
2026-04-02T12:00:00.000Z,228,157,559,667,81
2026-04-02T13:00:00.000Z,251,157,545,678,79
2026-04-02T14:00:00.000Z,275,167,535,687,79
2026-04-02T15:00:00.000Z,307,198,539,699,79
2026-04-02T16:00:00.000Z,374,239,560,694,80
2026-04-02T17:00:00.000Z,424,261,572,688,80
2026-04-02T18:00:00.000Z,432,275,584,679,82
2026-04-02T19:00:00.000Z,433,301,592,679,91
2026-04-02T20:00:00.000Z,431,313,600,670,93
2026-04-02T21:00:00.000Z,405,319,605,517,90
2026-04-02T22:00:00.000Z,382,290,608,339,93
2026-04-02T23:00:00.000Z,368,284,592,277,94
2026-04-03T00:00:00.000Z,397,252,563,259,93
2026-04-03T01:00:00.000Z,385,239,524,253,95
2026-04-03T02:00:00.000Z,351,240,492,264,98
2026-04-03T03:00:00.000Z,315,244,469,270,92
2026-04-03T04:00:00.000Z,289,225,447,284,86
2026-04-03T05:00:00.000Z,276,227,441,342,88
2026-04-03T06:00:00.000Z,284,219,436,425,90
2026-04-03T07:00:00.000Z,271,186,451,560,89
2026-04-03T08:00:00.000Z,253,134,480,593,88
2026-04-03T09:00:00.000Z,229,100,510,596,90
2026-04-03T10:00:00.000Z,216,90,519,583,88
2026-04-03T11:00:00.000Z,222,92,525,573,90
2026-04-03T12:00:00.000Z,237,93,526,567,88
2026-04-03T13:00:00.000Z,257,96,526,569,86
2026-04-03T14:00:00.000Z,264,97,531,565,85
2026-04-03T15:00:00.000Z,250,104,530,562,84
2026-04-03T16:00:00.000Z,251,114,532,567,86
2026-04-03T17:00:00.000Z,256,121,525,569,87
2026-04-03T18:00:00.000Z,256,129,528,561,93
2026-04-03T19:00:00.000Z,251,128,534,564,102
2026-04-03T20:00:00.000Z,260,127,540,565,106
2026-04-03T21:00:00.000Z,263,119,547,447,100
2026-04-03T22:00:00.000Z,292,132,554,335,99
2026-04-03T23:00:00.000Z,298,138,559,335,100
2026-04-04T00:00:00.000Z,313,139,559,333,101
2026-04-04T01:00:00.000Z,302,145,556,336,102
2026-04-04T02:00:00.000Z,287,149,551,336,105
2026-04-04T03:00:00.000Z,259,159,548,333,106
2026-04-04T04:00:00.000Z,251,178,556,332,109
2026-04-04T05:00:00.000Z,258,192,549,331,107
2026-04-04T06:00:00.000Z,257,184,563,389,109
2026-04-04T07:00:00.000Z,238,161,573,508,111
2026-04-04T08:00:00.000Z,236,141,572,565,109
2026-04-04T09:00:00.000Z,212,155,570,562,90
2026-04-04T10:00:00.000Z,195,156,557,562,83
2026-04-04T11:00:00.000Z,189,141,546,567,82
2026-04-04T12:00:00.000Z,185,134,547,580,77
2026-04-04T13:00:00.000Z,194,121,548,578,76
2026-04-04T14:00:00.000Z,192,117,564,577,74
2026-04-04T15:00:00.000Z,192,123,572,583,74
2026-04-04T16:00:00.000Z,195,137,572,581,74
2026-04-04T17:00:00.000Z,197,144,579,570,75
2026-04-04T18:00:00.000Z,200,144,591,574,75
2026-04-04T19:00:00.000Z,206,135,595,573,76
2026-04-04T20:00:00.000Z,226,131,595,593,83
2026-04-04T21:00:00.000Z,245,132,594,453,82
2026-04-04T22:00:00.000Z,265,130,589,316,82
2026-04-04T23:00:00.000Z,287,124,556,289,83
2026-04-05T00:00:00.000Z,335,125,513,272,86
2026-04-05T01:00:00.000Z,407,133,483,274,88
2026-04-05T02:00:00.000Z,431,133,477,272,90
2026-04-05T03:00:00.000Z,451,136,486,262,93
2026-04-05T04:00:00.000Z,459,137,479,283,92
2026-04-05T05:00:00.000Z,486,139,474,287,79
2026-04-05T06:00:00.000Z,480,135,478,377,76
2026-04-05T07:00:00.000Z,476,124,497,575,77
2026-04-05T08:00:00.000Z,497,122,531,600,78
2026-04-05T09:00:00.000Z,507,121,567,582,76
2026-04-05T10:00:00.000Z,490,113,582,585,77
2026-04-05T11:00:00.000Z,475,101,579,600,80
2026-04-05T12:00:00.000Z,472,96,577,614,80
2026-04-05T13:00:00.000Z,470,95,576,622,80
2026-04-05T14:00:00.000Z,499,95,577,634,79
2026-04-05T15:00:00.000Z,500,117,575,648,79
2026-04-05T16:00:00.000Z,483,128,568,651,79
2026-04-05T17:00:00.000Z,471,143,558,647,79
2026-04-05T18:00:00.000Z,444,156,551,662,79
2026-04-05T19:00:00.000Z,435,177,553,680,82
2026-04-05T20:00:00.000Z,435,187,550,686,83
2026-04-05T21:00:00.000Z,443,185,544,577,84
2026-04-05T22:00:00.000Z,461,189,540,423,84
2026-04-05T23:00:00.000Z,478,184,533,344,85
2026-04-06T00:00:00.000Z,516,184,515,315,86
2026-04-06T01:00:00.000Z,495,188,504,355,88
2026-04-06T02:00:00.000Z,416,188,508,396,90
2026-04-06T03:00:00.000Z,361,193,511,385,93
2026-04-06T04:00:00.000Z,314,200,504,391,96
2026-04-06T05:00:00.000Z,277,205,483,386,97
2026-04-06T06:00:00.000Z,260,176,464,482,97
2026-04-06T07:00:00.000Z,253,136,465,586,98
2026-04-06T08:00:00.000Z,253,130,485,623,88
2026-04-06T09:00:00.000Z,275,113,509,627,73
2026-04-06T10:00:00.000Z,284,108,518,642,71
2026-04-06T11:00:00.000Z,287,101,521,648,72
2026-04-06T12:00:00.000Z,289,100,522,641,72
2026-04-06T13:00:00.000Z,306,105,525,645,73
2026-04-06T14:00:00.000Z,333,110,525,649,73
2026-04-06T15:00:00.000Z,337,121,521,667,73
2026-04-06T16:00:00.000Z,328,140,522,669,71
2026-04-06T17:00:00.000Z,336,196,523,675,68
2026-04-06T18:00:00.000Z,331,222,530,669,67
2026-04-06T19:00:00.000Z,328,227,538,653,67
2026-04-06T20:00:00.000Z,322,226,549,630,72
2026-04-06T21:00:00.000Z,312,211,551,512,85
2026-04-06T22:00:00.000Z,300,203,556,347,82
2026-04-06T23:00:00.000Z,289,200,542,247,81
2026-04-07T00:00:00.000Z,295,208,519,228,83
