datetime,us-central1,europe-west1,asia-east1,australia-southeast1,southamerica-east1
2026-03-23T01:00:00.000Z,237,218,461,332,87
2026-03-23T02:00:00.000Z,230,211,439,315,86
2026-03-23T03:00:00.000Z,221,203,431,321,85
2026-03-23T04:00:00.000Z,217,210,430,312,84
2026-03-23T05:00:00.000Z,212,195,440,353,78
2026-03-23T06:00:00.000Z,209,207,455,437,81
2026-03-23T07:00:00.000Z,211,184,479,564,83
2026-03-23T08:00:00.000Z,221,121,512,653,85
2026-03-23T09:00:00.000Z,234,99,539,666,90
2026-03-23T10:00:00.000Z,255,83,552,671,93
2026-03-23T11:00:00.000Z,271,80,557,669,94
2026-03-23T12:00:00.000Z,303,84,558,664,93
2026-03-23T13:00:00.000Z,314,94,562,652,92
2026-03-23T14:00:00.000Z,299,121,569,648,92
2026-03-23T15:00:00.000Z,316,165,571,633,92
2026-03-23T16:00:00.000Z,359,212,561,638,90
2026-03-23T17:00:00.000Z,376,252,553,656,91
2026-03-23T18:00:00.000Z,375,275,548,655,90
2026-03-23T19:00:00.000Z,372,290,554,669,95
2026-03-23T20:00:00.000Z,370,284,561,646,106
2026-03-23T21:00:00.000Z,364,282,568,511,108
2026-03-23T22:00:00.000Z,382,251,567,368,110
2026-03-23T23:00:00.000Z,407,192,545,309,110
2026-03-24T00:00:00.000Z,421,167,520,299,112
