project_id,instance,zone,start_time,stop_time,duration_s
project-0-490819,e2-standard-2-idle-2h-us-central1,us-central1-b,2026-03-24T11:59:18.138185+00:00,2026-03-24T13:59:55.829809+00:00,7237
project-0-490819,e2-standard-2-idle-2h-europe-west1,europe-west1-b,2026-03-24T11:59:20.784579+00:00,2026-03-24T14:00:04.648664+00:00,7243
project-0-490819,e2-standard-2-idle-2h-southamerica-east1,southamerica-east1-b,2026-03-24T11:59:27.487164+00:00,2026-03-24T14:00:08.048094+00:00,7240
project-0-490819,e2-standard-2-idle-2h-asia-east1,asia-east1-b,2026-03-24T11:59:29.336439+00:00,2026-03-24T14:00:22.380805+00:00,7253
project-0-490819,e2-standard-2-idle-2h-australia-southeast1,australia-southeast1-b,2026-03-24T11:59:43.924301+00:00,2026-03-24T14:00:31.595038+00:00,7247
cft-n2s2-t00-d2h,n4-standard-2-idle-2h-asia-east1,asia-east1-b,2026-03-24T12:00:18.822158+00:00,,
cft-n2s2-t00-d2h,e2-standard-2-stress-2h-us-central1,us-central1-b,2026-03-24T12:00:21.348307+00:00,2026-03-24T14:01:58.204811+00:00,7296
cft-n2s2-t00-d2h,c4-standard-2-idle-2h-southamerica-east1,southamerica-east1-b,2026-03-24T12:00:24.011658+00:00,,
cft-n2s2-t00-d2h,e2-standard-2-stress-2h-europe-west1,europe-west1-b,2026-03-24T12:00:24.880730+00:00,2026-03-24T14:02:01.860398+00:00,7296
cft-n2s2-t00-d2h,n4-standard-2-stress-2h-australia-southeast1,australia-southeast1-b,2026-03-24T12:00:25.739503+00:00,,
cft-e2s4-t00-d2h,e2-standard-4-idle-2h-europe-west1,europe-west1-b,2026-03-24T12:00:26.244811+00:00,,
cft-e2s4-t00-d2h,e2-standard-4-idle-2h-us-central1,us-central1-b,2026-03-24T12:00:27.683055+00:00,2026-03-24T14:01:14.536365+00:00,7246
cft-e2s4-t00-d2h-stress,e2-standard-2-idle-1h-us-central1,us-central1-b,2026-03-24T12:00:31.957743+00:00,2026-03-24T13:01:13.552594+00:00,3641
cft-e2s4-t00-d2h-stress,e2-standard-2-idle-8h-asia-east1,asia-east1-b,2026-03-24T12:00:34.656956+00:00,,
cft-e2s4-t00-d2h-stress,n4-standard-2-idle-8h-southamerica-east1,southamerica-east1-b,2026-03-24T12:00:35.777343+00:00,,
cft-e2s4-t00-d2h,e2-standard-8-idle-2h-asia-east1,asia-east1-b,2026-03-24T12:00:36.760296+00:00,2026-03-24T14:01:22.943142+00:00,7246
