date,project_id,project_name,kg_co2e,m3_water
2026-05-27,04d9917a-7b65-4643-be26-a09e4552dba8,rsci-exp-3,0.262660,0.000522
2026-05-27,7046da92-4d71-4813-bfea-8ddf69288f57,rsci-exp-5,0.018487,0.000001
2026-05-27,71a4b8f4-2f1a-4d52-86ea-06b8c0722852,rsci-exp-1,0.051780,0.000004
2026-05-27,c7dfed7c-499f-4012-9188-2157efca0f5f,rsci-exp-2,0.051780,0.000004
2026-05-27,f4e73c27-90db-4c77-9c68-8bbeece9e1b0,rsci-exp-4,0.262660,0.000522
2026-05-28,04d9917a-7b65-4643-be26-a09e4552dba8,rsci-exp-3,0.262715,0.000523
2026-05-28,7046da92-4d71-4813-bfea-8ddf69288f57,rsci-exp-5,0.018492,0.000001
2026-05-28,71a4b8f4-2f1a-4d52-86ea-06b8c0722852,rsci-exp-1,0.051767,0.000004
2026-05-28,c7dfed7c-499f-4012-9188-2157efca0f5f,rsci-exp-2,0.051767,0.000004
2026-05-28,f4e73c27-90db-4c77-9c68-8bbeece9e1b0,rsci-exp-4,0.262715,0.000523
2026-05-29,04d9917a-7b65-4643-be26-a09e4552dba8,rsci-exp-3,0.262757,0.000523
2026-05-29,7046da92-4d71-4813-bfea-8ddf69288f57,rsci-exp-5,0.018497,0.000001
2026-05-29,71a4b8f4-2f1a-4d52-86ea-06b8c0722852,rsci-exp-1,0.051751,0.000004
2026-05-29,c7dfed7c-499f-4012-9188-2157efca0f5f,rsci-exp-2,0.051751,0.000004
2026-05-29,f4e73c27-90db-4c77-9c68-8bbeece9e1b0,rsci-exp-4,0.262757,0.000523
